date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:42	345/345	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2007:28:44%20GMT	http://abrar-portfolio.click/robots.txt		(from )
00:28:43	25547/25547	---M--	200	added ('OK')	text/html	etag:%2220a12669c6def3934b001b1064e96abb%22	http://abrar-portfolio.click/	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/index.html	(from )
00:28:43	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/My%20Web%20Sites/Portfolio%20website/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from http://abrar-portfolio.click/)
00:28:43	16493/16493	---M-Z	200	added ('OK')	text/css	etag:W/%22406d-rwCOh5O6dcNGNg6U6W482jFM4n8%22	https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	C:/My%20Web%20Sites/Portfolio%20website/cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	(from http://abrar-portfolio.click/)
00:28:44	13476/13476	---M--	200	added ('OK')	text/css	etag:%22366ba34d6bdb44bf6dc2cbee5974979f%22	http://abrar-portfolio.click/assets/css/main.css	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/css/main.css	(from http://abrar-portfolio.click/)
00:28:44	25547/25547	---M--	200	added ('OK')	text/html	etag:%2220a12669c6def3934b001b1064e96abb%22	http://abrar-portfolio.click/index.html	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/index-2.html	(from http://abrar-portfolio.click/)
00:28:46	8354/8354	---M--	200	added ('OK')	image/jpeg	etag:%22ca33a69fbfc0d4368ef3dcf2e275709f%22	http://abrar-portfolio.click/assets/img/terraform.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/terraform.jpg	(from http://abrar-portfolio.click/)
00:28:49	24119/24119	---M--	200	added ('OK')	image/jpeg	etag:%224031ea4dc09b06f7cb48c98287c187f9%22	http://abrar-portfolio.click/assets/img/2048.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/2048.jpg	(from http://abrar-portfolio.click/)
00:29:07	127084/127084	---M--	200	added ('OK')	image/jpeg	etag:%221eabb653458d3a9226ad030b4f581c31%22	http://abrar-portfolio.click/assets/img/stick%20(2).jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/stick%20(2).jpg	(from http://abrar-portfolio.click/)
00:29:08	112681/112681	---M--	200	added ('OK')	image/jpeg	etag:%22278cb1404d76e5d5ab4787b102fbf212%22	http://abrar-portfolio.click/assets/img/cat.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/cat.jpg	(from http://abrar-portfolio.click/)
00:29:12	159761/159761	---M--	200	added ('OK')	image/jpeg	etag:%22499a1d0aa1d478e8c2f875af0d425d51%22	http://abrar-portfolio.click/assets/img/calc.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/calc.jpg	(from http://abrar-portfolio.click/)
00:29:27	112970/112970	---M--	200	added ('OK')	image/jpeg	etag:%224151007b023177ad29662754fcfcf91d%22	http://abrar-portfolio.click/assets/img/dog.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/dog.jpg	(from http://abrar-portfolio.click/)
00:29:29	285535/285535	---M--	200	added ('OK')	image/png	etag:%2200bd021ac481ed876cf800a9b98fbc7b%22	http://abrar-portfolio.click/assets/img/ab-removebg-preview.png	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/ab-removebg-preview.png	(from http://abrar-portfolio.click/)
00:29:29	2251/2251	---M--	200	added ('OK')	application/javascript	etag:%2201cc0aed86183ea1befa705f6d48cc85%22	http://abrar-portfolio.click/assets/js/main.js	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/js/main.js	(from http://abrar-portfolio.click/)
00:29:34	143706/143706	---M-Z	200	added ('OK')	application/javascript	etag:W/%222315a-9NyNRghnOcWBIRhbLQ9OGQcQ8Rs%22	https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.js	C:/My%20Web%20Sites/Portfolio%20website/cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.js	(from http://abrar-portfolio.click/)
00:29:40	215877/215877	---M--	200	added ('OK')	image/jpeg	etag:%22a2581ebb4025eddf22240e01828a2a4d%22	http://abrar-portfolio.click/assets/img/dll.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/dll.jpg	(from http://abrar-portfolio.click/)
00:29:41	192713/192713	---M--	200	added ('OK')	image/jpeg	etag:%22c816fe364491c458aa6e0616004f4715%22	http://abrar-portfolio.click/assets/img/oso.jpg	C:/My%20Web%20Sites/Portfolio%20website/abrar-portfolio.click/assets/img/oso.jpg	(from http://abrar-portfolio.click/)
00:29:41	125268/125268	---M--	200	added ('OK')	font/woff2	etag:W/%221e954-TTdav0PtGKpUJkwbWXFLClnFk6Q%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff2?t=1590207869815	C:/My%20Web%20Sites/Portfolio%20website/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff2	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
